method,budget,depth,test_set,n_instances,n_ok,mean_file_recall,mean_file_precision,mean_file_f1,mean_file_f2,mean_file_f0_5,mean_fragment_recall,mean_fragment_precision,mean_fragment_f1,mean_line_f1,mean_line_f1_given_file_hit,n_with_fragment_gold,recall_perfect_pct,recall_zero_pct,recall_partial_pct,recall_std,n_selected_p50,n_selected_p95,n_gold_p50,fragment_count_p50,fragment_count_p95,mean_used_tokens,tokens_p50,tokens_p95,tokens_p99,mean_elapsed_seconds,elapsed_p50,elapsed_p95,elapsed_p99,git_sha,started_at_utc,mean_line_precision,mean_line_recall,n_with_line_gold
aider,64000,-1,swebench_verified,5,5,1.0,0.004277415567101666,0.008518071716291663,0.021024199565632715,0.005341007075779412,,,,,,,100.0,0.0,0.0,0.0,223.0,270.0,1.0,,,0.0,0.0,0.0,0.0,26.891325285800008,25.812866335999985,30.17858823239999,30.854896919279987,698cd6a3c09ceaf4284eb54afa5d080e67bfb106,2026-09-16T21:15:48Z,,,
bm25,64000,-1,swebench_verified,5,5,1.0,0.09035056446821152,0.16525252525252526,0.3293040293040293,0.11035446899709891,,,,,,,100.0,0.0,0.0,0.0,11.0,15.8,1.0,,,63990.2,63989.0,63997.6,63997.92,5.539402207000006,5.638607979,5.7152087898000055,5.723547995560003,698cd6a3c09ceaf4284eb54afa5d080e67bfb106,2026-09-16T21:15:50Z,,,
ego,64000,-1,swebench_verified,5,5,1.0,0.04578356426182513,0.08467338805156865,0.17517912868522625,0.056067523226556046,,,,,,,100.0,0.0,0.0,0.0,28.0,82.8,1.0,93.0,198.6,31338.8,20592.0,54059.6,55335.92,4.885221150000018,4.872304294999992,5.601889429400001,5.648424560280002,698cd6a3c09ceaf4284eb54afa5d080e67bfb106,2026-09-16T21:15:48Z,,,
internal-bm25,64000,-1,swebench_verified,5,5,1.0,0.02746594310431357,0.05306027873883494,0.1205123770137102,0.03403140873118119,,,,,,,100.0,0.0,0.0,0.0,38.0,189.39999999999998,1.0,58.0,501.5999999999999,12221.6,5520.0,33402.2,38300.44,2.9336012350000034,3.0207995200000113,3.244423351799992,3.2455517863599903,698cd6a3c09ceaf4284eb54afa5d080e67bfb106,2026-09-16T21:16:04Z,,,
pit,64000,-1,swebench_verified,5,5,1.0,0.031322904958161604,0.05938038188738313,0.12928868489410586,0.03861662853130089,,,,,,,100.0,0.0,0.0,0.0,35.0,148.0,1.0,234.0,326.59999999999997,39823.8,49979.0,53278.399999999994,53576.48,5.482661349200003,5.5937148769999965,6.066533205800004,6.0666813123600045,698cd6a3c09ceaf4284eb54afa5d080e67bfb106,2026-09-16T21:15:49Z,,,
ppr,64000,-1,swebench_verified,5,5,1.0,0.08061083743842365,0.14285936285936288,0.27296649710442816,0.09754948874906537,,,,,,,100.0,0.0,0.0,0.0,25.0,33.8,1.0,87.0,104.6,18908.6,25380.0,25847.800000000003,25849.56,4.319897279399998,4.424955023999999,4.773433898599999,4.788332632519998,698cd6a3c09ceaf4284eb54afa5d080e67bfb106,2026-09-16T21:15:50Z,,,
rrf,64000,-1,swebench_verified,5,5,1.0,0.03010308337894545,0.05754116935019064,0.12761217540629305,0.03719430091832865,,,,,,,100.0,0.0,0.0,0.0,40.0,103.8,1.0,170.0,232.39999999999998,36561.8,42593.0,51913.0,53182.6,5.6926628303999935,5.869810760000007,6.328604021599989,6.3823221171199895,698cd6a3c09ceaf4284eb54afa5d080e67bfb106,2026-09-16T21:15:47Z,,,
