instance_id,status,ego_tokens,bm25_tokens,sum_tokens,dedup_union_tokens,n_nontrivial_gold,nontrivial_recall_union
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__01527b89__06fd4df41afb,ok,4157,1664,5821,4816,4,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1ad7449c__de32fe83a2e4,ok,5720,1988,7708,6332,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ac705f35__5e04e84d67da,ok,4678,3554,8232,5918,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1c5aa714__8c3bd0b708b4,ok,6681,3454,10135,9439,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__31d4fe9d__6a5ef557f80a,ok,6159,852,7011,6463,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__0006beec__4e8121e8e42a,ok,5595,1002,6597,6275,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c20c3c4f__004b4620f6f4,ok,2153,397,2550,2365,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__994d041f__d89f976bddb4,ok,4637,4320,8957,7446,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__a5ec0eec__a754b82dac51,ok,3800,2373,6173,4623,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__b10492be__e1d673c373a7,ok,4933,4937,9870,5691,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__d105d187__dd528cb2cefc,ok,4676,4460,9136,5446,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__0b74a2c7__a7e7043c8746,ok,4315,2384,6699,5222,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2e3d6eae__361bb8f786f1,ok,5673,3258,8931,6947,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__dded0f96__e972620ada4f,ok,6974,1799,8773,7903,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c9656d7a__71e7c8e73712,ok,5242,4702,9944,7189,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__fb07ed8b__770d3e6a4ce8,ok,3302,1427,4729,3804,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__6809df19__e0442a628eb4,ok,5077,4752,9829,6067,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__f667fa43__d90e34c61b27,ok,4137,3419,7556,4756,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__f3695f8d__9ffd4eae2ce7,ok,4103,4886,8989,6093,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__681ea2b6__884b4c27f506,ok,5799,530,6329,6101,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__fd8123b1__694cf458f16b,ok,5755,2092,7847,7279,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__5c1509d5__647480166bfe,ok,3580,2498,6078,4185,3,0.3333333333333333
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4e7b7c81__8c0886b068ba,ok,5817,1651,7468,6598,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2ab7d0fc__5eb6a2b33d70,ok,4791,2824,7615,5293,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__60bc9e86__37c5b8c07be1,ok,5342,4573,9915,5644,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2ccbdc72__63884829acd2,ok,3319,1044,4363,3778,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__183a2a5b__2480554dc4ad,ok,5649,5318,10967,7365,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3f745086__7e6b537f5b92,ok,3628,1094,4722,4253,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__afcc47be__0c3981eb5094,ok,5918,1985,7903,6401,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ebf021d0__321ecb40f4da,ok,5159,5810,10969,7194,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4fb8fc10__6c86495bcee2,ok,6225,3226,9451,8129,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__8f9e4358__1250483ebf73,ok,5306,1678,6984,5972,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1efc2b51__39f83765e12b,ok,5342,4453,9795,5644,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__6cf8c11d__bd366ca2aeff,ok,6674,2673,9347,8263,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__914c325d__9b224579875e,ok,3745,3276,7021,5447,3,0.3333333333333333
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__cecff61c__0b0998dc151f,ok,3710,3245,6955,4784,4,0.75
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__60b000ec__f64fd47a7627,ok,4609,4561,9170,7066,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__e2250ebc__953f29f700a6,ok,5726,1651,7377,6112,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4b691a35__4a72da71001f,ok,5157,1177,6334,5788,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__02b5862c__f8fab6f90233,ok,6588,3227,9815,7307,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__bebfd692__d65c9ca20ddf,ok,5193,4936,10129,6329,2,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__5d44a351__6786f437df54,ok,3725,3902,7627,6989,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__34e61891__a0d2e399729d,ok,5863,764,6627,6291,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__42ae5e9f__a2a1b0a11b99,ok,6598,1326,7924,7162,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__35f76ab1__c6c7ec1978c2,ok,5493,1153,6646,6107,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__9c470c46__a7b7260bf06c,ok,4710,2889,7599,6233,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__67699b64__3eadeacc06c9,ok,4575,4287,8862,7684,3,0.3333333333333333
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__7ccc36b7__97fc1154992f,ok,6119,1148,7267,6605,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__a14d0e2e__8f0003ae9029,ok,4572,3024,7596,6372,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2d984316__9d22ab09d52d,ok,4909,5030,9939,6445,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__a571e81e__5ec2bd279729,ok,6785,3270,10055,7317,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__a8414dbd__430fb1db8884,ok,4042,709,4751,4522,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__09457b9b__66ba515e6716,ok,4631,1074,5705,5330,2,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ce7f17a5__7fdf772201e4,ok,4170,2020,6190,5195,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__67bcb30f__5ca694b38d86,ok,6745,4710,11455,7214,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3146e19b__f0f133943d3e,ok,4839,3525,8364,5930,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__497d4650__2aee6ccd7c7e,ok,3794,1550,5344,4890,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2e76c8cd__7ee9ceb71e86,ok,3025,1969,4994,3705,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__88e1ffd3__22623bd8c265,ok,5566,601,6167,5721,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__e989ba2d__0192aac24123,ok,5678,5317,10995,9259,2,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__42c77239__7c4e2ac83f7b,ok,4505,4957,9462,6108,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__90532e38__19b088636eb7,ok,5871,1203,7074,6042,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ec975b6c__51ef2a66c4e0,ok,6945,466,7411,7276,3,0.6666666666666666
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__20eb5bc8__37522e991a32,ok,5919,1287,7206,6334,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4f685b8e__851dadeb0338,ok,5879,1960,7839,6644,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__d3bf673c__6bb2b855498b,ok,4885,2038,6923,6552,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__220feee3__cc183652bf6e,ok,4965,4098,9063,6554,2,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__cb2c6ff3__51d37d1be955,ok,5944,6108,12052,8702,2,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1409977d__1e55ae64624d,ok,4966,4810,9776,6924,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__da598baa__1f8c4d9eb185,ok,6025,1454,7479,6334,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__abb9b8b0__da9a2b584eb7,ok,6317,2211,8528,7953,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__e5236b5f__3c1534944cbd,ok,5920,1490,7410,6466,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c2f0f2be__5e7f1ab4bf58,ok,5957,873,6830,6189,2,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__982277e4__19ad5889353c,ok,4995,950,5945,5279,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__0eecae1e__e6e300e729dd,ok,4063,1443,5506,4366,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4f130690__97523985b39e,ok,6550,2440,8990,8026,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__5900c195__553b5fb8f84b,ok,2527,3466,5993,3473,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__bdec299d__1c8668b0a021,ok,5159,5474,10633,8009,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3d378646__3d997697fdd1,ok,6628,714,7342,7008,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__51f3cc91__fdbaa58acbea,ok,6329,6191,12520,7559,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__8971eeba__06632c0d1851,ok,6752,745,7497,6875,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4f88ede2__af8a6e592a1a,ok,5338,1117,6455,5818,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__27320d49__f7eea9780970,ok,6148,5170,11318,7543,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ec6fdd6e__2c867b8f822e,ok,6470,5713,12183,9760,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__b91692e0__e3d1f9ac39e4,ok,6679,3239,9918,8906,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__07bafddd__586f4318ffcd,ok,5996,3784,9780,7089,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__42a80be0__3eacf948e0f9,ok,5451,3004,8455,6114,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__765e5e14__36367765fe78,ok,4078,1616,5694,4389,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__28ed0b77__ac2b7599d212,ok,5276,4869,10145,7871,3,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__7afb30f5__71db08c05197,ok,5571,1730,7301,6331,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__b5cec962__b3e26a6c8511,ok,5380,5635,11015,6760,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__59acbd9a__27ac10de0469,ok,5319,5474,10793,7462,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__d0723f55__795747bdb6b8,ok,4548,3202,7750,5482,2,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__83fd3b37__b428cd240467,ok,5226,1054,6280,5675,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__0f3c174a__4b452338f914,ok,5167,933,6100,5360,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__9dcac3ec__6918e6960081,ok,5908,1064,6972,6246,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__30065f19__939c7bb7ff7c,ok,4794,3350,8144,5463,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__8c647f3a__6c38f68dae22,ok,5078,4986,10064,6873,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__7db465d6__f050a7775dfc,ok,5525,2055,7580,6080,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__7ec77e9c__d7c304511569,ok,4517,1014,5531,4978,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__51e329de__479939f8c65c,ok,3765,868,4633,4067,3,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__bc1c666f__aa9780761ad8,ok,6634,6612,13246,7876,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__9ea965a5__30379ea6e225,ok,5699,1364,7063,6152,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__e09a2d75__9476425b9e34,ok,6599,1354,7953,6924,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__186c0af4__50d8a102f073,ok,4196,1767,5963,4918,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__8d1c297a__67e3c956083d,ok,3581,2952,6533,4360,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3b4c72f1__c935e1d10674,ok,3425,2909,6334,4550,3,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__bc999af3__165971200181,ok,6290,4342,10632,9377,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__7439767b__9cbea134220b,ok,4892,2267,7159,5483,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__9b321036__6810dee42694,ok,5960,2000,7960,6975,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c4bcf730__701441853569,ok,5169,1781,6950,5804,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__83a70168__6fd65310fa31,ok,6575,5948,12523,7457,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__20294df2__c50643a49811,ok,7213,6559,13772,12214,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__13b74fcf__d4e0231b0814,ok,5394,2386,7780,6303,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__d561b333__6f54459aa024,ok,5345,3736,9081,6882,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__d3576321__c0e85160406f,ok,3441,1200,4641,3620,4,0.25
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4d321c4a__cffd4e0f86fe,ok,2570,4028,6598,5788,2,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3d43f489__e11d3fed7821,ok,3398,3306,6704,4625,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__58d0e27a__b4777fdcef46,ok,3943,4911,8854,6213,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__91e36e16__d9b18c518d64,ok,5866,3324,9190,6202,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__15e5aaa3__de446c6d85f6,ok,3476,2431,5907,4584,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__af69d880__3f8c8c2377cb,ok,3918,4417,8335,6488,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__a375715a__a3475b3f9ac6,ok,4270,1942,6212,4601,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__074f37ac__3ff4717b6aef,ok,5545,2175,7720,6187,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__726ccefd__c4e836cdf73f,ok,7872,6674,14546,14546,3,0.6666666666666666
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1eaeabf4__fdc707f73a65,ok,4236,1479,5715,4663,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ac127191__10de1a18a0ef,ok,2479,4647,7126,6157,4,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3c7d37b7__39de9a2698ad,ok,7072,4367,11439,7576,0,
contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__4eb0e647__1e137b07052b,ok,6045,5750,11795,6385,5,0.2
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__71253eae__487f90443cd1,ok,7258,7282,14540,7389,2,0.0
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__53ca6a30__9d9f3a199838,ok,5753,5777,11530,6537,2,1.0
contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__39a9746b__f97cef80aed8,ok,5015,4672,9687,6151,2,0.5
contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__09eb0d6d__7800016f2f1b,ok,5523,4409,9932,6711,2,0.5
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__7c4a11fb__9b0d2decb24b,ok,5038,1944,6982,5604,3,0.6666666666666666
contextbench_verified::SWE-Bench-Pro__go__maintenance__bugfix__40a717e5__266e5e143e87,ok,5179,4491,9670,6734,6,0.5
